no,customer_id,name,contact,join_date,tag_row,tag_customer_id,tag_name,tag_contact,tag_join_date
30,25,Crystal Schwartz,(02)36354135,2012/09/,Duplicated,,type1,imprecise,imprecise
31,26,Shelby Lopez,610717955603,13-11-19 Tue,,,type1,type 1.1.1,type3
32,27,Carol Jones,+61(02)26259887,10-06-08,Duplicated,,type1,type 1.2.2,type2
33,27,Carol Jones,+61(02)26259887,10-06-08,Duplicated,,type1,type 1.2.2,type2
34,28,"Chavez, Henry",+61(08)54524606,2015/08/,Duplicated,,type2,type 1.2.2,imprecise
35,28,"Chavez, Henry",+61(08)54524606,2015/08/,Duplicated,,type2,type 1.2.2,imprecise
36,29,Justin Snyder,-03-811-7774,2010/01/,Duplicated,,type1,imprecise,imprecise
37,29,Justin Snyder,-03-811-7774,2010/01/,Duplicated,,type1,imprecise,imprecise
38,29,Justin Snyder,-03-811-7774,2010/01/,Duplicated,,type1,imprecise,imprecise
39,30,David Page,61-02-1724-3350,06/26/13,Duplicated,,type1,type 2.1.1,type4
40,30,David Page,61-02-1724-3350,06/26/13,Duplicated,,type1,type 2.1.1,type4
41,30,Ronald Roberts,61(03)82991403,18-05-10 Thu,Duplicated,,type1,type 1.2.1,type3
42,30,Ronald Roberts,61(03)82991403,18-05-10 Thu,Duplicated,,type1,type 1.2.1,type3
43,32,Stephanie Hernandez,438746213,2013-04-25,,,type1,imprecise,type1
44,33,Emily Mcintyre,,09/07/16,Duplicated,nonunique,type1,missing,type4
45,33,Emily Mcintyre,,09/07/16,Duplicated,nonunique,type1,missing,type4
46,33,Joseph Nash,61(07)7971877,17-03-17,,nonunique,type1,imprecise,type2
47,33,Dawn Campbell,61(02)31931009,2017/12/,,nonunique,type1,type 1.2.1,imprecise
48,36,Gwendolyn Schwartz,-(07)-7281-3503,2013/12/,,,type1,imprecise,imprecise
49,37,Sarah Rodriguez,61-08-4644-8505,14-04-15,,,type1,type 2.1.1,type2
50,38,John Simon,+61-02-6426-9571,2011-06-29,Duplicated,,type1,type 2.1.2,type1
51,38,John Simon,+61-02-6426-9571,2011-06-29,Duplicated,,type1,type 2.1.2,type1
52,39,Debra Arellano,+61-07-272-2982,16-08-31 Wed,,,type1,imprecise,type3
53,40,"Davis, Whitney",(02)91603271,16-06-14,,,type2,imprecise,type2
54,41,John Beasley,44479345,11-06-13 Mon,,,type1,imprecise,type3
55,42,Margaret Mccoy,61-03-3119-2624,09/10/11,Duplicated,nonunique,type1,type 2.1.1,type4
56,42,Margaret Mccoy,61-03-3119-2624,09/10/11,Duplicated,nonunique,type1,type 2.1.1,type4
57,42,Jessica Stanley,-08-8641-7404,15-09-28 Mon,,nonunique,type1,imprecise,type3
58,44,Kelly Wade,61-02-3331-8286,11-09-08 Thu,,,type1,type 2.1.1,type3
59,45,Dawn Gillespie,61-(03)-4508-8702,16-09-26 Mon,Duplicated,,type1,type 2.2.1,type3
60,45,Dawn Gillespie,61-(03)-4508-8702,16-09-26 Mon,Duplicated,,type1,type 2.2.1,type3
61,45,"Baker, Nicholas",-07-6540-4320,10/22/17,Duplicated,,type2,imprecise,type4
62,45,"Baker, Nicholas",-07-6540-4320,10/22/17,Duplicated,,type2,imprecise,type4
63,47,Matthew Rios,61-07-5782-382,2017-04-03,,,type1,imprecise,type1
64,48,Heather Johnson,266138650,12-10-14 Sun,Duplicated,nonunique,type1,imprecise,type3
65,48,Heather Johnson,266138650,12-10-14 Sun,Duplicated,nonunique,type1,imprecise,type3
66,48,Alec Austin,+61-(02)-8765-2361,2013/11/,,nonunique,type1,type 2.2.2,imprecise
67,49,Andrew Johnson,-(07)-8766-3969,12-03-03 Sat,Duplicated,,type1,imprecise,type3
68,49,Andrew Johnson,-(07)-8766-3969,12-03-03 Sat,Duplicated,,type1,imprecise,type3
69,50,"Price, Gloria",324055456,2012-09-01,,,type2,imprecise,type1
70,52,Kristopher Sanders,61-(02)-3126-3349,15-11-17 Tue,Duplicated,nonunique,type1,type 2.2.1,type3
71,52,Paula Wilson,(04)40812253,07/07/16,,nonunique,type1,imprecise,type4
72,52,Kristopher Sanders,61-(02)-3126-3349,15-11-17 Tue,Duplicated,nonunique,type1,type 2.2.1,type3
73,53,Lori Briggs,+61-(07)-1201-4808,15-09-15,Duplicated,,type1,type 2.2.2,type2
74,53,Lori Briggs,+61-(07)-1201-4808,15-09-15,Duplicated,,type1,type 2.2.2,type2
75,54,Amanda Singleton,+61(08)16784852,2018/02/,,nonunique,type1,type 1.2.2,imprecise
76,54,"Valdez, Miranda",(07)75553265,09/07/12,,nonunique,type2,imprecise,type4
77,55,"Cunningham, Bryan",61-03-9655-3941,03/23/13,,,type2,type 2.1.1,type4
78,58,"Martinez, Joseph",-(02)-1860-1312,2013/07/,,nonunique,type2,imprecise,imprecise
79,58,Megan Evans,61-(08)-4317-4566,2014/10/,,nonunique,type1,type 2.2.1,imprecise
80,59,Maria Owens,61-03-1970-2774,2013-03-10,,nonunique,type1,type 2.1.1,type1
81,59,"Hayes, Jasmine",610766421142,2012/05/,,nonunique,type2,type 1.1.1,imprecise
82,62,"Campos, Juan",-(04)-7527-6831,16-01-26 Tue,Duplicated,,type2,imprecise,type3
83,62,"Campos, Juan",-(04)-7527-6831,16-01-26 Tue,Duplicated,,type2,imprecise,type3
84,63,Crystal Beard,610819622821,15-07-12 Sun,Duplicated,,type1,type 1.1.1,type3
85,63,Crystal Beard,610819622821,15-07-12 Sun,Duplicated,,type1,type 1.1.1,type3
86,64,Dustin Hardin,+61-07-9815-9016,2012-11-21,,nonunique,type1,type 2.1.2,type1
87,64,Frederick Diaz,610299438622,12/28/14,,nonunique,type1,type 1.1.2,type4
88,66,Barbara Fuller,610846687355,17-05-10 Wed,,,type1,type 1.1.2,type3
89,67,Ryan Phillips,61(07)66534697,17-08-26 Sat,,,type1,type 1.2.1,type3
90,68,Kimberly Bailey,(08)83257940,03/06/10,,,type1,imprecise,type4
91,69,"Hopkins, Brianna",+61-02-9719-7477,2013/07/,,,type2,type 2.1.2,imprecise
92,70,Jacob Cox,61(02)25911850,2012-07-27,,,type1,type 1.2.1,type1
93,71,Lisa Aguilar,610361226883,N/A,,,type1,type 1.1.2,missing
94,72,"Garcia, Stephanie",+61(03)60294952,2011/06/,,,type2,type 1.2.2,imprecise
95,73,Alexandra Phillips,610374639892,01/31/17,,,type1,type 1.1.2,type4
96,74,"Jones, Brendan",610358388081,03/21/16,Duplicated,,type2,type 1.1.2,type4
97,74,"Jones, Brendan",610358388081,03/21/16,Duplicated,,type2,type 1.1.2,type4
98,75,Jennifer Franklin,(08)29402282,14-06-14 Sat,,nonunique,type1,imprecise,type3
99,75,Steven Swanson,(07)51737665,2015/01/,,nonunique,type1,imprecise,imprecise
100,77,Michael Mendoza,+61-08-7962-357,08/10/14,,,type1,imprecise,type4
101,78,Alyssa Carr,610417882637,09/14/17,,,type1,type 1.1.1,type4
102,79,Cory Miller,610415607387,18-01-02,Duplicated,nonunique,type1,type 1.1.1,type2
103,79,Cory Miller,610415607387,18-01-02,Duplicated,nonunique,type1,type 1.1.1,type2
104,79,Stephanie Olson,61-02-446-1328,11-01-21 Fri,,nonunique,type1,imprecise,type3
105,80,Mandy Morrison,+61(02)46465349,08/24/11,Duplicated,,type1,type 1.2.2,type4
106,80,Mandy Morrison,+61(02)46465349,08/24/11,Duplicated,,type1,type 1.2.2,type4
107,82,"Bennett, Cassandra",+61-02-5952-6171,18-10-21,,,type2,type 2.1.2,type2
108,83,Sandra Johnson,610725988427,2016/05/,Duplicated,,type1,type 1.1.2,imprecise
109,83,Sandra Johnson,610725988427,2016/05/,Duplicated,,type1,type 1.1.2,imprecise
110,83,Matthew Scott,61-(08)-6345-6014,2012/11/,Duplicated,,type1,type 2.2.1,imprecise
111,83,Matthew Scott,61-(08)-6345-6014,2012/11/,Duplicated,,type1,type 2.2.1,imprecise
112,85,Christopher Coleman,61-02-5536-9391,14-10-22 Wed,,,type1,type 2.1.1,type3
113,86,Andrew Torres,+61-08-1146-66,2010/07/,,nonunique,type1,imprecise,imprecise
114,86,Jessica Fox,610888392201,18-10-30,Duplicated,nonunique,type1,type 1.1.2,type2
115,86,Jessica Fox,610888392201,18-10-30,Duplicated,nonunique,type1,type 1.1.2,type2
116,86,"Pennington, Daniel",(07)70107059,16-10-19 Wed,Duplicated,nonunique,type2,imprecise,type3
117,86,"Pennington, Daniel",(07)70107059,16-10-19 Wed,Duplicated,nonunique,type2,imprecise,type3
118,89,Frank Brown,-(03)-1710-9200,2010-03-29,,nonunique,type1,imprecise,type1
119,89,Isaac Gray,-04-6036-2355,07/16/13,,nonunique,type1,imprecise,type4
120,91,Natasha Roy,61046059298,2014/05/,Duplicated,nonunique,type1,imprecise,imprecise
121,91,Natasha Roy,61046059298,2014/05/,Duplicated,nonunique,type1,imprecise,imprecise
122,91,Martha Adams,61-02-7702-8854,2015/02/,,nonunique,type1,type 2.1.1,imprecise
123,93,Kyle Williams,-02-6344-5469,08/05/17,,nonunique,type1,imprecise,type4
124,93,David Allen,61-04-8093-4804,14-11-23 Sun,,nonunique,type1,type 2.1.1,type3
125,94,Justin Rose,41262181,04/08/13,Duplicated,,type1,imprecise,type4
126,94,Justin Rose,41262181,04/08/13,Duplicated,,type1,imprecise,type4
127,96,Brenda Harmon,-07-2342-5864,17-12-21,,,type1,imprecise,type2
128,97,Christina Davis,-08-1313-364,10-05-10 Mon,Duplicated,,type1,imprecise,type3
129,97,Christina Davis,-08-1313-364,10-05-10 Mon,Duplicated,,type1,imprecise,type3
130,98,Christine Brooks,869599663,11-03-28,Duplicated,,type1,imprecise,type2
131,98,Christine Brooks,869599663,11-03-28,Duplicated,,type1,imprecise,type2
132,99,Joshua Griffin,(04)18125056,2014/12/,,nonunique,type1,imprecise,imprecise
133,99,Deborah Cooke,610379322370,15-09-05 Sat,,nonunique,type1,type 1.1.1,type3
134,100,Jeffrey Juarez,61-(03)-6356-4770,2016/04/,,,type1,type 2.2.1,imprecise
135,102,"White, Jimmy",61(03)33276944,07/13/11,,,type2,type 1.2.1,type4
136,103,"Lester, Chad",61(04)81775322,2014/04/,,,type2,type 1.2.1,imprecise
137,104,Donald Mccormick,-(04)-9028-2350,13-01-27 Sun,,,type1,imprecise,type3
138,105,"Clark, Stephanie",392865587,2016/04/,,,type2,imprecise,imprecise
139,106,Michael Knapp,(04)2421587,08/21/13,Duplicated,,type1,imprecise,type4
140,106,Michael Knapp,(04)2421587,08/21/13,Duplicated,,type1,imprecise,type4
141,107,Dawn Neal,61-(04)-2445-6145,12-04-21 Sat,,,type1,type 2.2.1,type3
142,108,Susan Stewart,780829361,15-05-10 Sun,,nonunique,type1,imprecise,type3
143,108,Kenneth Garza,(04)71402216,08/15/16,,nonunique,type1,imprecise,type4
144,109,Oscar Jones,+61(07)96053092,2014-09-15,Duplicated,,type1,type 1.2.2,type1
145,109,Oscar Jones,+61(07)96053092,2014-09-15,Duplicated,,type1,type 1.2.2,type1
146,111,"Rodriguez, Heather",-(07)-8268-8459,12-03-21 Wed,Duplicated,nonunique,type2,imprecise,type3
147,111,"Rodriguez, Heather",-(07)-8268-8459,12-03-21 Wed,Duplicated,nonunique,type2,imprecise,type3
148,111,Ryan Smith,76776984,16-07-19 Tue,,nonunique,type1,imprecise,type3
149,112,Michael Terry,610383977146,,,,type1,type 1.1.1,missing
150,114,James Johnson,+61-(04)-1186-696,13-06-12 Wed,Duplicated,,type1,imprecise,type3
151,114,James Johnson,+61-(04)-1186-696,13-06-12 Wed,Duplicated,,type1,imprecise,type3
152,115,Kiara Kaiser,610316683277,16-10-06,,,type1,type 1.1.2,type2
153,116,Shelby Arnold,+61-(07)-7904-249,14-02-22 Sat,,,type1,imprecise,type3
154,117,Kenneth Moore,,2012-04-27,,,type1,missing,type1
155,118,Ray Wallace,-(08)-8929-9222,2018/09/,Duplicated,,type1,imprecise,imprecise
156,118,Ray Wallace,-(08)-8929-9222,2018/09/,Duplicated,,type1,imprecise,imprecise
157,119,Dawn Garrison,610349088300,06/29/12,,nonunique,type1,type 1.1.2,type4
158,119,Joseph Lopez,-(07)-7380-7191,09/18/11,,nonunique,type1,imprecise,type4
159,121,William Lucas,61-02-964-5026,11-11-16 Wed,,,type1,imprecise,type3
160,122,Jennifer Perry,61-03-4504-8693,2014/12/,,,type1,type 2.1.1,imprecise
161,123,"Salazar, John",610826084240,10-12-03 Fri,,nonunique,type2,type 1.1.1,type3
162,123,James Mendez,-(02)-3089-6934,16-12-09 Fri,Duplicated,nonunique,type1,imprecise,type3
163,123,James Mendez,-(02)-3089-6934,16-12-09 Fri,Duplicated,nonunique,type1,imprecise,type3
164,125,"Martinez, Ernest",61-(04)-555-3353,14-06-29 Sun,,nonunique,type2,imprecise,type3
165,125,"Vaughn, Tiffany",61(02)987807,2011/07/,,nonunique,type2,imprecise,imprecise
166,127,Amy Stafford,61-04-3551-3478,13-12-03,,,type1,type 2.1.1,type2
167,128,Jasmine Robinson,,N/A,,,type1,missing,missing
168,129,Luke Kim,61(08)37249332,2014-12-30,,nonunique,type1,type 1.2.1,type1
169,129,"Brewer, Melanie",+61(07)5219759,12-04-20 Fri,,nonunique,type2,imprecise,type3
170,129,Samantha Miller,610890259087,2017/11/,,nonunique,type1,type 1.1.2,imprecise
171,132,Jay Hansen,75980587,13-05-08,,,type1,imprecise,type2
172,133,Erin Meyers,610727436757,N/A,Duplicated,,type1,type 1.1.1,missing
173,133,Erin Meyers,610727436757,N/A,Duplicated,,type1,type 1.1.1,missing
174,134,Cheryl King,61-07-4630-6101,2012-07-26,Duplicated,,type1,type 2.1.1,type1
175,134,Daniel Russell,+61-04-4905-6200,15-04-16,Duplicated,,type1,type 2.1.2,type2
176,134,Cheryl King,61-07-4630-6101,2012-07-26,Duplicated,,type1,type 2.1.1,type1
177,134,Daniel Russell,+61-04-4905-6200,15-04-16,Duplicated,,type1,type 2.1.2,type2
178,136,Teresa George,(07)44358835,09/07/14,,nonunique,type1,imprecise,type4
179,136,Stephanie Hoover,-02-6128-4330,09/27/16,,nonunique,type1,imprecise,type4
180,137,Gina Fisher,(08)48201996,11/19/10,,,type1,imprecise,type4
181,139,Cory Irwin,(07)62522450,13-05-27,,nonunique,type1,imprecise,type2
182,139,Erin Smith,610342447474,2011-09-29,,nonunique,type1,type 1.1.2,type1
183,140,Anthony Smith,61-(02)-561-8087,2011/02/,,,type1,imprecise,imprecise
184,142,Scott Garza,61(02)6944663,2018/08/,,nonunique,type1,imprecise,imprecise
185,142,Steven Stevens,-07-8325-8340,10/31/12,,nonunique,type1,imprecise,type4
186,143,"Miller, Julie",61(04)49691687,2012/10/,,,type2,type 1.2.1,imprecise
187,145,"Miller, Dawn",+61-(03)-3251-366,06/17/17,,nonunique,type2,imprecise,type4
188,145,Kimberly Martin,(02)4431125,09/10/18,,nonunique,type1,imprecise,type4
189,146,Kelly Thomas,222598259,02/19/13,Duplicated,,type1,imprecise,type4
190,146,Kelly Thomas,222598259,02/19/13,Duplicated,,type1,imprecise,type4
191,147,"Kim, Dawn",61-(04)-4099-1675,,Duplicated,,type2,type 2.2.1,missing
192,147,"Kim, Dawn",61-(04)-4099-1675,,Duplicated,,type2,type 2.2.1,missing
193,149,Thomas Mendoza,610498125748,12-04-22,Duplicated,,type1,type 1.1.2,type2
194,149,Thomas Mendoza,610498125748,12-04-22,Duplicated,,type1,type 1.1.2,type2
195,150,"Sanchez, Karen",+61(08)3028225,,Duplicated,nonunique,type2,imprecise,missing
196,150,Jeffrey Johnson,+61-03-8459-1283,14-02-07,,nonunique,type1,type 2.1.2,type2
197,150,"Sanchez, Karen",+61(08)3028225,,Duplicated,nonunique,type2,imprecise,missing
198,152,Michelle Fuller,(04)2745767,09/08/17,,,type1,imprecise,type4
199,153,Jay Johnson,(04)67346042,17-02-26,,,type1,imprecise,type2
200,154,Andrew Evans,61-03-4892-5752,2015-05-29,,,type1,type 2.1.1,type1
201,155,Robin Hayes,610443978739,12-12-16,,,type1,type 1.1.1,type2
202,156,"Anderson, Raymond",610725105919,2013/01/,,,type2,type 1.1.1,imprecise
203,157,"Miller, Blake",-03-623-4112,2018/02/,,,type2,imprecise,imprecise
204,158,Jennifer Christensen,-07-3443-5501,12/29/12,,,type1,imprecise,type4
205,159,Kara Cruz,-03-1376-8404,11-08-06 Sat,,,type1,imprecise,type3
206,160,Brittany Gray,610748904348,12-06-28 Thu,,,type1,type 1.1.1,type3
207,161,Kirsten Jones,+61-(04)-9179-4486,2015-06-04,Duplicated,,type1,type 2.2.2,type1
208,161,Kirsten Jones,+61-(04)-9179-4486,2015-06-04,Duplicated,,type1,type 2.2.2,type1
209,162,"Lewis, William",+61-08-4571-5836,16-07-07 Thu,,,type2,type 2.1.2,type3
210,163,"Rodriguez, Jennifer",-(03)-8683-6779,2017/07/,Duplicated,nonunique,type2,imprecise,imprecise
211,163,"Rodriguez, Jennifer",-(03)-8683-6779,2017/07/,Duplicated,nonunique,type2,imprecise,imprecise
212,163,"Rodriguez, Jennifer",-(03)-8683-6779,2017/07/,Duplicated,nonunique,type2,imprecise,imprecise
213,163,Jennifer Wheeler,+61(02)63508260,04/07/11,,nonunique,type1,type 1.2.2,type4
214,165,"Schneider, Edgar",-(08)-9558-1998,12-05-06,Duplicated,,type2,imprecise,type2
215,165,"Schneider, Edgar",-(08)-9558-1998,12-05-06,Duplicated,,type2,imprecise,type2
216,165,"Schneider, Edgar",-(08)-9558-1998,12-05-06,Duplicated,,type2,imprecise,type2
217,166,"Thompson, David",61(04)41953069,2017-03-12,,nonunique,type2,type 1.2.1,type1
218,166,Philip Bowen,+61(04)38018696,03/26/17,,nonunique,type1,type 1.2.2,type4
219,167,"French, Ashlee",+61-04-2017-5156,2018/09/,Duplicated,,type2,type 2.1.2,imprecise
220,167,"French, Ashlee",+61-04-2017-5156,2018/09/,Duplicated,,type2,type 2.1.2,imprecise
221,168,Eric Suarez,+61-(08)-7579-5196,18-09-05 Wed,,,type1,type 2.2.2,type3
222,169,Jessica Pearson,61(04)34819407,10/09/17,Duplicated,,type1,type 1.2.1,type4
223,169,Jessica Pearson,61(04)34819407,10/09/17,Duplicated,,type1,type 1.2.1,type4
224,170,Kimberly Norris,-02-6541-8149,11-05-26 Thu,,,type1,imprecise,type3
225,172,Caitlyn Donovan,61(07)93717712,N/A,,,type1,type 1.2.1,missing
226,173,Chad Spencer,-04-9195-8936,16-12-13 Tue,,,type1,imprecise,type3
227,174,Peggy Thompson,+61-07-6033-4251,12-10-02,,,type1,type 2.1.2,type2
228,175,Nicole Reynolds,610467061360,2015-11-09,,,type1,type 1.1.2,type1
229,176,Brian Macdonald,,15-02-09 Mon,,,type1,missing,type3
230,177,John Nelson,61(07)16052590,2016/12/,Duplicated,,type1,type 1.2.1,imprecise
231,177,John Nelson,61(07)16052590,2016/12/,Duplicated,,type1,type 1.2.1,imprecise
232,178,Deborah Miller,610823902581,2012-09-23,,,type1,type 1.1.2,type1
233,179,Ann Jackson,(03)14774514,2012/06/,,nonunique,type1,imprecise,imprecise
234,179,"Hall, Robert",(08)2189754,14-08-29,,nonunique,type2,imprecise,type2
235,181,Diana Neal,61-07-7227-9154,02/02/18,,,type1,type 2.1.1,type4
236,182,"Clark, Nicole",61036658398,06/27/11,,,type2,imprecise,type4
237,183,Andrew Ballard,610890274513,N/A,,nonunique,type1,type 1.1.1,missing
238,183,Jesse Saunders,610287425976,2018/01/,,nonunique,type1,type 1.1.2,imprecise
239,185,"Kennedy, Amanda",(04)99372608,17-08-23 Wed,,,type2,imprecise,type3
240,186,Julia Castro,-04-8267-4808,11-06-05,,nonunique,type1,imprecise,type2
241,186,"Johnson, Jessica",61(08)28495343,03/28/11,,nonunique,type2,type 1.2.1,type4
242,187,Johnathan Rosales,-(07)-9108-4579,,,,type1,imprecise,missing
243,188,"Allen, Zachary",-08-4873-3528,2016-03-06,,,type2,imprecise,type1
244,189,Jason Mcgee,+61-03-2943-3209,N/A,Duplicated,,type1,type 2.1.2,missing
245,189,Jason Mcgee,+61-03-2943-3209,N/A,Duplicated,,type1,type 2.1.2,missing
246,191,Michele Diaz,(08)8755842,12/18/10,,nonunique,type1,imprecise,type4
247,191,Sergio Lopez,864809100,02/02/14,,nonunique,type1,imprecise,type4
248,193,"Miller, Alex",61-02-2637-709,06/18/12,,,type2,imprecise,type4
249,194,Kimberly Russell,+61-03-6383-837,17-01-14,,,type1,imprecise,type2
250,195,Paul Jones,,01/19/15,,,type1,missing,type4
251,196,Morgan Kelly,+61(08)3065595,13-09-18,,,type1,imprecise,type2
252,197,Lisa Baker,61-04-3462-5054,10/19/11,,nonunique,type1,type 2.1.1,type4
253,197,Rhonda Gilbert,-03-3407-57,2014/07/,,nonunique,type1,imprecise,imprecise
254,199,Shannon Dunn,(07)27022426,2015-04-08,,,type1,imprecise,type1
255,200,Nicholas Lester,-(03)-9729-6313,12-12-13 Thu,,nonunique,type1,imprecise,type3
256,200,Thomas Jordan,+61-04-2146-8403,09/29/11,,nonunique,type1,type 2.1.2,type4
257,202,Christina Gallegos,61-(08)-7181-6487,05/25/15,,nonunique,type1,type 2.2.1,type4
258,202,Tristan Dickerson,61-(04)-8596-552,17-01-11 Wed,,nonunique,type1,imprecise,type3
259,204,Jeffrey Sanders,61-02-4364-3595,16-07-19,Duplicated,,type1,type 2.1.1,type2
260,204,Jeffrey Sanders,61-02-4364-3595,16-07-19,Duplicated,,type1,type 2.1.1,type2
261,205,"Hernandez, Michele",-02-461-8327,02/04/18,,,type2,imprecise,type4
262,206,"Sullivan, Austin",61-03-3-3354,2011/02/,,,type2,imprecise,imprecise
263,207,"Thomas, Heidi",61-(04)-6398-7598,N/A,Duplicated,,type2,type 2.2.1,missing
264,207,"Thomas, Heidi",61-(04)-6398-7598,N/A,Duplicated,,type2,type 2.2.1,missing
265,208,Ronald Miller,61-(07)-7696-1522,06/15/16,,nonunique,type1,type 2.2.1,type4
266,208,Jacob Miller,61(08)75241433,10-03-13,,nonunique,type1,type 1.2.1,type2
267,210,Amber Oneill,61-(08)-1977-974,2014-11-02,,,type1,imprecise,type1
268,211,"Mack, Thomas",-04-4188-3224,06/20/17,,nonunique,type2,imprecise,type4
269,211,Bobby Sanders,,2018-04-14,,nonunique,type1,missing,type1
270,213,Evelyn Jones,+61-03-5818-7443,06/11/12,Duplicated,,type1,type 2.1.2,type4
271,213,Evelyn Jones,+61-03-5818-7443,06/11/12,Duplicated,,type1,type 2.1.2,type4
272,214,Nicholas Collins,61-(08)-7216-3681,10-04-11,,,type1,type 2.2.1,type2
273,215,Jennifer Baker,-02-2847-6142,18-03-31,Duplicated,,type1,imprecise,type2
274,215,Jennifer Baker,-02-2847-6142,18-03-31,Duplicated,,type1,imprecise,type2
275,215,Jennifer Baker,-02-2847-6142,18-03-31,Duplicated,,type1,imprecise,type2
276,216,Stephen Gonzalez,-03-1410-7436,,,nonunique,type1,imprecise,missing
277,216,Eric Hahn,61-(07)-3502-3458,10-10-31,,nonunique,type1,type 2.2.1,type2
278,217,Andres Simmons,610790952731,2013/06/,,,type1,type 1.1.2,imprecise
279,219,Jessica Sullivan,+61(08)38909659,10/02/11,,,type1,type 1.2.2,type4
280,220,"Patrick, Jacob",,16-03-28,Duplicated,,type2,missing,type2
281,220,Jenny Ryan,61(08)74888826,2013-09-14,Duplicated,,type1,type 1.2.1,type1
282,220,Jenny Ryan,61(08)74888826,2013-09-14,Duplicated,,type1,type 1.2.1,type1
283,220,"Patrick, Jacob",,16-03-28,Duplicated,,type2,missing,type2
284,221,Jason Farmer,-(08)-6457-2232,2016-08-06,,,type1,imprecise,type1
285,223,Brandon Graham,610394063178,2016/11/,,,type1,type 1.1.2,imprecise
286,224,Robert Martin,+61-(04)-1081-4073,05/20/11,,,type1,type 2.2.2,type4
287,225,Misty Bell,-04-6158-265,2011/08/,Duplicated,,type1,imprecise,imprecise
288,225,Misty Bell,-04-6158-265,2011/08/,Duplicated,,type1,imprecise,imprecise
289,226,Pamela Garcia,781678296,16-05-11 Wed,,,type1,imprecise,type3
290,227,"Lloyd, Michael",+61-03-2640-169,13-03-03,,,type2,imprecise,type2
291,228,Jennifer Anderson,-(04)-1670-7903,14-11-21,,,type1,imprecise,type2
292,229,"Camacho, Nicholas",(04)24867795,15-02-03,,,type2,imprecise,type2
293,230,Gabrielle Pham,357583113,2017-07-28,Duplicated,,type1,imprecise,type1
294,230,Gabrielle Pham,357583113,2017-07-28,Duplicated,,type1,imprecise,type1
295,231,"Jensen, Tyler",+61-07-7888-9775,,,,type2,type 2.1.2,missing
296,232,"Braun, Lori",-(03)-4-5335,,,,type2,imprecise,missing
297,233,Samantha Powers,+61(03)85865511,2013-08-22,,,type1,type 1.2.2,type1
298,234,"Garner, Jennifer",+61-02-767-7628,2012-07-23,,,type2,imprecise,type1
299,235,Erik Carr,610797275184,17-11-02,,,type1,type 1.1.2,type2
300,236,Anthony Miller,(04)7563865,,,,type1,imprecise,missing
